LOGGER (Client1): Mon Jun 19 18:34:05 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:07 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:08 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:10 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:11 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:13 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:14 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:16 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:17 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:19 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:20 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:22 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:23 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:25 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:26 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:28 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:29 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:31 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:32 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:34 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:35 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:37 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:38 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:40 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:41 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:43 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:44 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:46 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:47 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:49 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:50 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:52 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:53 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:55 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:56 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:58 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:34:59 CEST 2017 - Invoked invitation with username=CIROO
LOGGER (Client1): Mon Jun 19 18:35:01 CEST 2017 - Invoked invitation with username=CIROO
